timestamp,user_id,filename,save_time_ms,inference_time_ms,total_time_ms
1765975523.163,4,IMG-20251126-WA0029.jpg,2.8,611.19,2203.31
1765975880.878,4,IMG-20251126-WA0029.jpg,2.86,639.05,2189.27
1765975886.197,4,IMG-20251126-WA0040.jpg,0.27,432.04,432.35
1765975923.053,4,IMG-20251126-WA0047.jpg,2.86,577.45,2132.52
1765975931.898,4,IMG-20251126-WA0029.jpg,0.26,274.4,274.7
1765975944.624,4,IMG-20251126-WA0051.jpg,0.23,238.37,238.64
1765975948.245,4,IMG-20251126-WA0053.jpg,0.25,279.63,279.92
1765975954.034,4,IMG-20251126-WA0066.jpg,0.33,282.77,283.13
1765975957.914,4,IMG-20251126-WA0050.jpg,0.32,214.36,214.71
1765975963.412,4,IMG-20251126-WA0061.jpg,0.21,451.35,451.59
1765975968.568,4,IMG-20251126-WA0055.jpg,1.88,169.46,171.39
1765975976.22,4,IMG-20251126-WA0063.jpg,0.25,273.97,274.26
1765975985.721,4,IMG-20251126-WA0053.jpg,0.22,285.65,285.9
1765976044.083,4,IMG-20251126-WA0029.jpg,2.92,664.94,2222.09
1765976422.989,4,IMG-20251126-WA0029.jpg,2.9,714.77,2278.22
1765976426.679,4,IMG-20251126-WA0045.jpg,0.33,314.34,314.72
1765976429.904,4,IMG-20251126-WA0048.jpg,0.24,522.38,522.66
1765976433.278,4,IMG-20251126-WA0049.jpg,0.33,344.07,344.46
1765976436.406,4,IMG-20251126-WA0051.jpg,0.38,303.28,303.72
1765976442.84,4,IMG-20251126-WA0056.jpg,0.21,300.39,300.64
